Start Date,End Date,Event Name,Category (CD / CD Classic / Raid / Mega / Shadow Raid / Spotlight / Research / Other)
,,Solosis Community Day,Community Day
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
